Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.372063564,0,0,0,0,0,0,0
6.372064540,1,0,0,0,0,0,0
6.372065516,0,0,0,0,0,0,0
6.372073328,1,0,0,0,0,0,0
6.372074308,0,0,0,0,0,0,0
6.372078212,1,0,0,0,0,0,0
6.372082120,0,0,0,0,0,0,0
6.372085048,1,0,0,0,0,0,0
6.372086024,0,0,0,0,0,0,0
6.372087980,1,0,0,0,0,0,0
6.372088956,0,0,0,0,0,0,0
6.372089932,1,0,0,0,0,0,0
6.372091884,0,0,0,0,0,0,0
6.372093836,1,0,0,0,0,0,0
6.372094816,0,0,0,0,0,0,0
6.372096768,1,0,0,0,0,0,0
6.372109464,0,0,0,0,0,0,0
6.372110440,1,0,0,0,0,0,0
6.372111416,0,0,0,0,0,0,0
6.372113368,1,0,0,0,0,0,0
6.372114344,0,0,0,0,0,0,0
6.372116300,1,0,0,0,0,0,0
6.372117276,0,0,0,0,0,0,0
6.372119228,1,0,0,0,0,0,0
6.372120204,0,0,0,0,0,0,0
6.372125088,1,0,0,0,0,0,0
6.372127040,0,0,0,0,0,0,0
6.372128016,1,0,0,0,0,0,0
6.372129972,0,0,0,0,0,0,0
6.372130948,1,0,0,0,0,0,0
6.373056736,0,0,0,0,0,0,0
6.373057712,1,0,0,0,0,0,0
6.373058688,0,0,0,0,0,0,0
6.373059664,1,0,0,0,0,0,0
6.373060640,0,0,0,0,0,0,0
6.373062596,1,0,0,0,0,0,0
6.373063572,0,0,0,0,0,0,0
6.373064548,1,0,0,0,0,0,0
6.373065524,0,0,0,0,0,0,0
6.373073336,1,0,0,0,0,0,0
6.373074316,0,0,0,0,0,0,0
6.373076268,1,0,0,0,0,0,0
6.373078220,0,0,0,0,0,0,0
6.373079196,1,0,0,0,0,0,0
6.373083104,0,0,0,0,0,0,0
6.373085056,1,0,0,0,0,0,0
6.373086032,0,0,0,0,0,0,0
6.373087984,1,0,0,0,0,0,0
6.373088964,0,0,0,0,0,0,0
6.373089940,1,0,0,0,0,0,0
6.373091892,0,0,0,0,0,0,0
6.373093844,1,0,0,0,0,0,0
6.373094820,0,0,0,0,0,0,0
6.373096776,1,0,0,0,0,0,0
6.373109472,0,0,0,0,0,0,0
6.373110448,1,0,0,0,0,0,0
6.373111424,0,0,0,0,0,0,0
6.373114352,1,0,0,0,0,0,0
6.373115328,0,0,0,0,0,0,0
6.373116304,1,0,0,0,0,0,0
6.373117284,0,0,0,0,0,0,0
6.373119236,1,0,0,0,0,0,0
6.373120212,0,0,0,0,0,0,0
6.373125096,1,0,0,0,0,0,0
6.373127048,0,0,0,0,0,0,0
6.373128024,1,0,0,0,0,0,0
6.373129000,0,0,0,0,0,0,0
6.373131932,1,0,0,0,0,0,0
6.374056744,0,0,0,0,0,0,0
6.374057720,1,0,0,0,0,0,0
6.374058696,0,0,0,0,0,0,0
6.374059672,1,0,0,0,0,0,0
6.374060648,0,0,0,0,0,0,0
6.374062600,1,0,0,0,0,0,0
6.374063580,0,0,0,0,0,0,0
6.374064556,1,0,0,0,0,0,0
6.374065532,0,0,0,0,0,0,0
6.374073344,1,0,0,0,0,0,0
6.374074320,0,0,0,0,0,0,0
6.374077252,1,0,0,0,0,0,0
6.374078228,0,0,0,0,0,0,0
6.374079204,1,0,0,0,0,0,0
6.374082132,0,0,0,0,0,0,0
6.374083108,1,0,0,0,0,0,0
6.374084088,0,0,0,0,0,0,0
6.374085064,1,0,0,0,0,0,0
6.374086040,0,0,0,0,0,0,0
6.374087992,1,0,0,0,0,0,0
6.374088968,0,0,0,0,0,0,0
6.374089944,1,0,0,0,0,0,0
6.374091900,0,0,0,0,0,0,0
6.374093852,1,0,0,0,0,0,0
6.374094828,0,0,0,0,0,0,0
6.374096780,1,0,0,0,0,0,0
6.374109476,0,0,0,0,0,0,0
6.374110452,1,0,0,0,0,0,0
6.374111432,0,0,0,0,0,0,0
6.374113384,1,0,0,0,0,0,0
6.374115336,0,0,0,0,0,0,0
6.374116312,1,0,0,0,0,0,0
6.374117288,0,0,0,0,0,0,0
6.374119244,1,0,0,0,0,0,0
6.374120220,0,0,0,0,0,0,0
6.374125104,1,0,0,0,0,0,0
6.374128032,0,0,0,0,0,0,0
6.374129008,1,0,0,0,0,0,0
6.374130960,0,0,0,0,0,0,0
6.374131936,1,0,0,0,0,0,0
6.375056752,0,0,0,0,0,0,0
6.375057724,1,0,0,0,0,0,0
6.375058704,0,0,0,0,0,0,0
6.375059680,1,0,0,0,0,0,0
6.375060656,0,0,0,0,0,0,0
6.375062608,1,0,0,0,0,0,0
6.375063584,0,0,0,0,0,0,0
6.375064560,1,0,0,0,0,0,0
6.375065540,0,0,0,0,0,0,0
6.375073352,1,0,0,0,0,0,0
6.375074328,0,0,0,0,0,0,0
6.375076280,1,0,0,0,0,0,0
6.375077256,0,0,0,0,0,0,0
6.375079212,1,0,0,0,0,0,0
